Latitude_fireFile,Longitude_fireFile,brightness,scan,track,bright_t31,frp,daynight,type,date_Time_fireFile,MDL,wind_measurements,fire_occurred
35.2731,-118.8617,325.5,1.0,1.0,295.4,22.2,N,0,2019-07-24 06:00:00,0.1,4.60312,1
35.2913,-118.937,321.5,1.0,1.0,306.2,9.4,D,0,2019-10-21 21:00:00,0.1,7.4800699999999996,1
35.3225,-120.742,323.3,1.3,1.2,307.7,14.3,D,0,2019-09-20 19:00:00,0.1,8.400694,1
35.3239,-118.9731,309.5,1.0,1.0,294.8,4.3,D,0,2019-10-30 21:00:00,0.1,17.261699999999998,0
35.3255,-118.9622,325.3,1.0,1.0,296.9,18.7,D,0,2019-10-30 21:00:00,0.1,17.261699999999998,1
35.3424,-120.717,326.5,1.3,1.1,304.0,22.1,D,0,2019-07-18 19:00:00,0.1,7.595147999999999,0
35.3512,-120.0286,353.2,1.0,1.0,288.9,71.5,D,0,2019-01-31 21:00:00,0.1,1.496014,1
35.4503,-119.3065,306.7,1.1,1.0,290.9,7.6,D,0,2019-01-24 21:00:00,0.1,1.15078,1
35.4562,-119.306,309.7,1.2,1.1,289.4,10.6,D,0,2019-01-07 19:00:00,0.1,3.3372619999999995,1
35.4585,-119.3147,305.1,1.0,1.0,284.1,7.8,D,0,2019-02-06 19:00:00,0.1,1.15078,1
35.4852,-119.2501,303.6,1.0,1.0,287.9,5.2,D,2,2019-11-21 19:00:00,0.1,0.920624,0
35.5972,-120.15,333.4,1.6,1.2,315.8,24.7,D,0,2019-06-10 19:00:00,0.1,8.745928,1
36.0149,-119.1153,316.7,1.0,1.0,298.6,9.8,D,0,2019-03-26 19:00:00,0.1,2.992028,1
36.0165,-119.1262,319.7,1.0,1.0,297.1,12.0,D,0,2019-03-26 19:00:00,0.1,2.992028,1
36.2108,-119.797,301.5,1.3,1.1,289.0,8.8,N,0,2019-09-26 10:00:00,0.1,5.063432,0
36.2589,-117.9952,312.0,1.1,1.0,300.0,6.1,D,0,2019-11-01 21:00:00,0.1,3.567418,1
36.3064,-119.5588,303.4,1.5,1.2,293.3,6.9,N,0,2019-09-06 06:00:00,0.1,3.107106,0
36.3199,-119.2516,315.5,1.0,1.0,297.8,8.9,D,2,2019-03-11 21:00:00,0.1,0.690468,1
36.5513,-119.491,313.6,1.6,1.3,296.5,15.1,D,0,2019-09-30 19:00:00,0.1,5.868977999999999,1
36.5547,-119.5037,314.3,2.0,1.4,301.6,13.6,D,0,2019-09-21 19:00:00,0.1,2.186482,0
36.5554,-119.4522,341.0,1.6,1.3,296.0,80.2,D,0,2019-09-30 19:00:00,0.1,5.868977999999999,1
36.5556,-119.4625,317.2,1.3,1.1,297.7,14.4,D,0,2019-10-19 21:00:00,0.1,2.30156,1
36.5584,-119.4637,318.5,1.3,1.1,298.9,12.7,D,0,2019-09-30 21:00:00,0.1,6.099133999999999,0
36.5587,-119.4694,319.8,1.1,1.0,305.0,5.7,D,0,2019-08-10 19:00:00,0.1,10.126864,0
36.5595,-119.4594,307.6,1.0,1.0,291.3,5.9,D,0,2019-11-21 19:00:00,0.1,3.682496,1
36.562,-119.4533,339.2,1.0,1.0,303.6,33.5,D,0,2019-09-18 19:00:00,0.1,6.444367999999999,1
36.5658,-119.5435,325.3,1.0,1.0,303.5,12.9,D,0,2019-09-18 19:00:00,0.1,6.444367999999999,1
36.568,-119.4689,328.0,1.1,1.1,280.1,27.3,D,0,2019-09-16 19:00:00,0.1,6.7896019999999995,1
36.5725,-119.4931,326.9,1.2,1.1,300.1,24.7,D,0,2019-10-22 19:00:00,0.1,0.690468,1
36.5732,-119.5202,316.3,2.3,1.5,302.7,15.0,D,0,2019-09-09 21:00:00,0.1,5.868977999999999,0
36.5736,-119.5079,315.9,1.1,1.0,302.2,7.8,D,0,2019-10-23 21:00:00,0.1,2.30156,0
36.5743,-119.5041,328.1,1.0,1.0,304.7,17.0,D,0,2019-09-09 19:00:00,0.1,4.833276,1
36.5748,-119.5118,321.0,1.0,1.0,304.8,9.2,D,0,2019-09-19 21:00:00,0.1,4.257886,1
36.5749,-118.7641,328.0,1.0,1.0,300.9,19.2,D,0,2019-07-10 21:00:00,0.1,3.107106,0
36.5756,-118.7502,327.8,1.0,1.0,295.0,22.1,D,0,2019-07-09 19:00:00,0.1,1.6110919999999997,1
36.5761,-119.5153,333.8,1.0,1.0,304.7,24.7,D,0,2019-09-09 19:00:00,0.1,4.833276,1
36.5763,-119.5057,311.4,3.1,1.7,296.7,21.4,D,0,2019-09-19 20:00:00,0.1,4.833276,0
36.5765,-118.7531,339.7,1.0,1.0,300.6,35.6,D,0,2019-07-10 21:00:00,0.1,3.107106,1
36.5766,-118.766,302.5,1.2,1.1,286.2,8.7,N,0,2019-07-10 06:00:00,0.1,1.380936,0
36.5772,-118.7617,341.8,1.0,1.0,294.2,43.5,D,0,2019-07-09 19:00:00,0.1,1.6110919999999997,1
36.5773,-119.4955,319.2,1.0,1.0,301.8,8.0,D,0,2019-09-18 19:00:00,0.1,6.444367999999999,1
36.5775,-119.5102,316.9,2.0,1.4,298.2,24.8,D,0,2019-10-23 19:00:00,0.1,2.6467939999999994,1
36.5781,-119.5113,319.4,1.4,1.2,298.3,20.6,D,0,2019-10-15 19:00:00,0.1,2.6467939999999994,1
36.5784,-119.5146,314.3,1.1,1.0,301.1,6.3,D,0,2019-10-23 21:00:00,0.1,2.30156,0
36.5786,-118.7553,317.2,1.4,1.2,290.1,22.6,D,0,2019-10-03 21:00:00,0.1,3.107106,0
36.5788,-119.5065,320.1,1.0,1.0,302.7,8.8,D,0,2019-09-18 19:00:00,0.1,6.444367999999999,1
36.5789,-118.7524,310.0,1.2,1.1,285.8,14.9,N,0,2019-07-10 06:00:00,0.1,1.380936,1
36.5793,-119.5027,316.8,2.0,1.4,298.0,25.0,D,0,2019-10-23 19:00:00,0.1,2.6467939999999994,1
36.5798,-119.5275,316.5,1.5,1.2,298.4,15.4,D,0,2019-10-15 19:00:00,0.1,2.6467939999999994,1
36.5801,-119.4507,327.3,2.2,1.4,304.5,47.8,D,2,2019-08-30 18:00:00,0.1,3.7975739999999996,1
36.5813,-118.7635,319.3,1.4,1.2,291.0,26.0,D,0,2019-10-03 21:00:00,0.1,3.107106,1
36.5837,-119.5076,354.0,1.0,1.0,305.2,62.9,D,0,2019-09-09 19:00:00,0.1,4.833276,1
36.5854,-118.7563,359.0,1.0,1.0,284.0,92.5,N,0,2019-10-03 06:00:00,0.1,4.02773,1
36.5855,-118.7622,321.3,1.0,1.0,295.5,17.3,D,0,2019-10-05 21:00:00,0.1,3.567418,1
36.5857,-118.7576,307.6,1.0,1.0,281.4,12.0,N,0,2019-10-05 06:00:00,0.1,4.257886,1
36.5859,-119.5157,332.3,1.0,1.0,308.6,17.2,D,0,2019-08-17 19:00:00,0.1,6.559445999999999,1
36.5869,-118.7512,314.8,1.0,1.0,295.0,11.3,D,0,2019-10-05 21:00:00,0.1,3.567418,0
36.5872,-118.7593,358.4,1.0,1.0,291.7,82.4,D,0,2019-10-04 19:00:00,0.1,2.416638,1
