Latitude_fireFile,Longitude_fireFile,brightness,scan,track,bright_t31,frp,daynight,type,date_Time_fireFile,MDL,wind_measurements,Chance_of_fire
34.4289,-119.5009,369.6,1.1,1.0,301.6,126.5,N,0,2017-12-11 10:00:00,0.1,0.920624,100
34.4293,-119.2459,321.3,1.1,1.1,279.9,25.5,N,0,2017-12-06 10:00:00,0.1,1.6110919999999997,100
34.4293,-119.1713,327.9,1.1,1.1,287.5,32.4,N,0,2017-12-06 10:00:00,0.1,1.6110919999999997,92
34.4296,-119.4759,333.8,2.6,1.6,268.2,130.4,N,0,2017-12-10 09:00:00,0.1,0.920624,100
34.4297,-119.492,351.5,1.0,1.0,286.9,56.4,D,0,2017-12-10 19:00:00,0.1,2.186482,96
34.4302,-119.5248,323.7,4.3,1.9,287.6,185.8,N,0,2017-12-12 09:00:00,0.1,0.230156,100
34.4302,-119.1839,326.7,2.6,1.5,283.6,95.7,N,0,2017-12-06 05:00:00,0.1,0.920624,79
34.4302,-119.1574,362.2,1.6,1.2,296.1,164.5,D,0,2017-12-05 18:00:00,0.1,0.690468,100
34.4308,-119.5125,396.9,1.1,1.0,306.3,258.3,N,0,2017-12-11 10:00:00,0.1,0.920624,100
34.4309,-119.1834,316.9,1.1,1.1,283.2,19.1,N,0,2017-12-06 10:00:00,0.1,1.6110919999999997,48
34.4312,-119.503,386.6,1.0,1.0,292.7,178.5,D,0,2017-12-10 19:00:00,0.1,2.186482,100
34.4316,-119.5405,346.2,2.8,1.6,295.2,221.2,D,0,2017-12-11 19:00:00,0.1,0.920624,82
34.4317,-119.4711,314.1,4.2,1.9,286.5,112.4,N,0,2017-12-12 09:00:00,0.1,0.230156,51
34.4318,-119.533,304.2,1.8,1.3,288.5,15.9,N,0,2017-12-12 06:00:00,0.1,2.416638,36
34.432,-119.1752,359.9,1.6,1.2,295.1,155.8,D,0,2017-12-05 18:00:00,0.1,0.690468,99
34.4325,-119.1955,315.9,1.1,1.1,278.9,19.0,N,0,2017-12-06 10:00:00,0.1,1.6110919999999997,88
34.4326,-119.5237,348.2,1.1,1.0,290.8,63.7,N,0,2017-12-11 10:00:00,0.1,0.920624,100
34.4327,-119.514,410.5,1.0,1.0,297.6,324.9,D,0,2017-12-10 19:00:00,0.1,2.186482,100
34.4329,-119.5262,341.0,1.4,1.2,288.1,73.7,N,0,2017-12-11 06:00:00,0.1,2.416638,100
34.4329,-119.4669,349.6,2.6,1.6,270.7,239.1,N,0,2017-12-10 09:00:00,0.1,0.920624,100
34.4329,-119.1528,326.1,1.1,1.0,283.4,29.5,N,0,2017-12-06 10:00:00,0.1,1.6110919999999997,78
34.4339,-119.5174,319.9,4.3,1.9,288.0,151.9,N,0,2017-12-12 09:00:00,0.1,0.230156,67
