Latitude_fireFile,Longitude_fireFile,brightness,scan,track,bright_t31,frp,daynight,type,Sample Measurement,Units of Measure,MDL,fire_occurred
40.5208,-121.5571,308.0,1.1,1.0,276.6,13.2,N,0,206.0,Degrees Compass,0.1,1
40.5189,-121.5692,323.2,1.1,1.0,281.5,27.2,N,0,3.9,Knots,0.1,1
40.5189,-121.5692,323.2,1.1,1.0,281.5,27.2,N,0,206.0,Degrees Compass,0.1,1
40.527,-121.5674,319.7,2.2,1.4,286.3,57.7,D,0,3.3,Knots,0.1,1
40.527,-121.5674,319.7,2.2,1.4,286.3,57.7,D,0,222.0,Degrees Compass,0.1,1
33.7455,-117.3012,328.1,1.1,1.0,314.2,12.5,D,0,0.4,Knots,0.1,1
38.3361,-121.4229,313.1,1.4,1.2,299.0,8.8,D,0,11.5,Knots,0.1,0
38.3361,-121.4229,313.1,1.4,1.2,299.0,8.8,D,0,244.6,Degrees Compass,0.1,0
39.1062,-121.6349,328.2,1.4,1.2,301.6,31.5,D,2,0.1,Knots,0.1,1
39.1062,-121.6349,328.2,1.4,1.2,301.6,31.5,D,2,86.0,Degrees Compass,0.1,1
39.0883,-121.6138,328.0,1.3,1.2,305.5,26.8,D,2,1.1,Knots,0.1,1
39.0883,-121.6138,328.0,1.3,1.2,305.5,26.8,D,2,86.0,Degrees Compass,0.1,1
39.0855,-121.6289,316.2,1.4,1.2,304.5,9.0,D,0,1.1,Knots,0.1,0
39.0855,-121.6289,316.2,1.4,1.2,304.5,9.0,D,0,86.0,Degrees Compass,0.1,0
39.1056,-121.6352,340.9,1.4,1.2,306.5,55.9,D,2,1.1,Knots,0.1,1
39.1056,-121.6352,340.9,1.4,1.2,306.5,55.9,D,2,86.0,Degrees Compass,0.1,1
39.101,-121.6434,317.9,1.0,1.0,304.2,7.9,D,2,0.6,Knots,0.1,1
39.101,-121.6434,317.9,1.0,1.0,304.2,7.9,D,2,36.0,Degrees Compass,0.1,1
39.3134,-121.6621,305.4,1.0,1.0,294.3,3.7,D,0,3.7,Knots,0.1,1
39.3134,-121.6621,305.4,1.0,1.0,294.3,3.7,D,0,308.0,Degrees Compass,0.1,1
38.8994,-120.0419,305.9,1.1,1.0,282.1,9.3,D,0,4.5,Knots,0.1,0
38.8994,-120.0419,305.9,1.1,1.0,282.1,9.3,D,0,98.0,Degrees Compass,0.1,0
39.0716,-121.5768,311.4,1.7,1.3,288.5,16.4,D,0,0.8,Knots,0.1,1
39.0716,-121.5768,311.4,1.7,1.3,288.5,16.4,D,0,27.0,Degrees Compass,0.1,1
37.7168,-119.6536,340.9,1.0,1.0,298.1,45.1,D,0,6.6,Knots,0.1,1
37.7168,-119.6536,340.9,1.0,1.0,298.1,45.1,D,0,80.0,Degrees Compass,0.1,1
37.715,-119.6651,323.7,1.0,1.0,297.4,20.4,D,0,6.6,Knots,0.1,1
37.715,-119.6651,323.7,1.0,1.0,297.4,20.4,D,0,80.0,Degrees Compass,0.1,1
37.0422,-119.9747,305.2,1.8,1.3,292.2,9.9,D,0,1.8,Knots,0.1,0
37.0422,-119.9747,305.2,1.8,1.3,292.2,9.9,D,0,347.6,Degrees Compass,0.1,0
37.0404,-119.9551,310.2,1.8,1.3,291.3,16.5,D,0,1.8,Knots,0.1,1
